country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","15-11-2025 23:00:00",25.494,81.863,PM10,89,479,196
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","15-11-2025 23:00:00",25.494,81.863,NO2,12,12,12
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","15-11-2025 23:00:00","25.44919916 ","81.82735986 ",PM2.5,71,314,176
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB","15-11-2025 23:00:00",25.3505986,82.9083074,PM2.5,NA,NA,NA
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB","15-11-2025 23:00:00",25.301778,82.996789,SO2,28,34,31
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB","15-11-2025 23:00:00",30.075911,78.2859547,PM10,44,93,68
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB","15-11-2025 23:00:00",30.075911,78.2859547,CO,16,44,27
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB","15-11-2025 23:00:00",30.075911,78.2859547,OZONE,67,67,67
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB","15-11-2025 23:00:00",23.6979360,86.9443950,PM10,52,149,114
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB","15-11-2025 23:00:00",23.6979360,86.9443950,NO2,7,57,30
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB","15-11-2025 23:00:00",23.6181830,87.1057180,SO2,6,8,7
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB","15-11-2025 23:00:00",23.6181830,87.1057180,CO,8,92,48
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB","15-11-2025 23:00:00",25.262326,82.995408,PM10,77,175,124
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB","15-11-2025 23:00:00",25.262326,82.995408,SO2,29,31,29
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB","15-11-2025 23:00:00",25.32393,82.99687,PM10,36,269,128
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB","15-11-2025 23:00:00",27.5714090,77.6557570,OZONE,15,16,15
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","15-11-2025 23:00:00",26.509954,80.249612,NO2,22,22,22
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","15-11-2025 23:00:00",26.868120,81.005119,NO2,7,9,8
